Algorithm,N,InputType,AvgTimeMicroseconds
heap,10000,Sorted,437.4
heap,100000,Sorted,4579.2
heap,2500,Sorted,94.8
heap,25000,Sorted,1059.6
heap,5000,Sorted,218.0
heap,50000,Sorted,2241.2
heap,7500,Sorted,309.0
heap,75000,Sorted,3398.0
radix,1000,Unknown,22.4
radix,10000,Unknown,251.6
radix,100000,Unknown,2394.2
radix,2500,Unknown,63.4
radix,25000,Unknown,648.0
radix,5000,Unknown,127.6
radix,50000,Unknown,1207.0
radix,7500,Unknown,182.8
radix,75000,Unknown,1785.8
radix,1000,Random,23.2
radix,10000,Random,243.6
radix,100000,Random,2362.4
radix,2500,Random,63.8
radix,25000,Random,588.6
radix,5000,Random,120.4
radix,50000,Random,1179.8
radix,7500,Random,178.6
radix,75000,Random,1769.8
radix,1000,Reversed,23.8
radix,10000,Reversed,241.4
radix,100000,Reversed,2493.2
radix,2500,Reversed,60.2
radix,25000,Reversed,622.4
radix,5000,Reversed,125.6
radix,50000,Reversed,1196.8
radix,7500,Reversed,188.6
radix,75000,Reversed,1796.2
radix,1000,Sorted,22.6
radix,10000,Sorted,247.0
radix,100000,Sorted,2380.0
radix,2500,Sorted,61.0
radix,25000,Sorted,598.0
radix,5000,Sorted,124.4
radix,50000,Sorted,1199.8
radix,7500,Sorted,186.0
radix,75000,Sorted,1782.6
